Country	Number	Number2	Number3	Number4	Number5
advanced mfg	806	2358	3450	1570	1771
aerospace	3224	5124	7082	6729	7240
agribusiness	26	39	84	60	89
automotive	159	236	323	292	291
biotechnology	109	115	187	240 215 	
construction	159	164	332	306	483
educational services	2069	2252	3851	3925	6634
energy	193	288	490	441	603
finance	1826	2465	3913	4238	4519
geospatial	22	44	58	55	87
health care	1155	1750	2985	2866	3860
homeland security	17	16	21	25	35
hospitality	103	155	288	347	477
IT	10469	14631	20214	23495	19491
other	2659	3506	5656	5929	6607
retail	729	1059	1383	1260	1610
transportation	151	206	372	347	491

